iter	Passed	Remaining
0	717	716618
1	1180	589195
2	1638	544659
3	2062	513618
4	2428	483326
5	2844	471279
6	3245	460362
7	3506	434854
8	3928	432523
9	4338	429515
10	4858	436795
11	5263	433340
12	5643	428502
13	6060	426822
14	6452	423731
15	6881	423236
16	7267	420219
17	7684	419216
18	8109	418682
19	8478	415435
20	8848	412486
21	9264	411841
22	9654	410118
23	10068	409465
24	10477	408628
25	10859	406825
26	11267	406059
27	11627	403635
28	12036	403016
29	12763	412690
30	13623	425844
31	14273	431764
32	15063	441420
33	15989	454279
34	16754	461944
35	17508	468844
36	18299	476277
37	19151	484838
38	19968	492032
39	20680	496343
40	21487	502603
41	22257	507683
42	23042	512823
43	23877	518786
44	24716	524546
45	25597	530873
46	26479	536916
47	27325	541957
48	28210	547520
49	29063	552211
50	29909	556542
51	30716	559980
52	31408	561211
53	32008	560739
54	32796	563499
55	33494	564615
56	34397	569072
57	35245	572435
58	36001	574196
59	36807	576655
60	37657	579676
61	38332	579939
62	39043	580691
63	39981	584731
64	40895	588262
65	41738	590660
66	42639	593774
67	43326	593830
68	44331	598157
69	45525	604838
70	46786	612177
71	47998	618652
72	48940	621475
73	49738	622401
74	50217	619351
75	51025	620360
76	51946	622682
77	52503	620619
78	53004	617938
79	53565	616005
80	54110	613923
81	54620	611486
82	55114	608920
83	55623	606556
84	56160	604547
85	56638	601953
86	57148	599730
87	57689	597868
88	58241	596158
89	58746	593996
90	59250	591857
91	59770	589904
92	60251	587610
93	60718	585222
94	61202	583036
95	61714	581147
96	62407	580964
97	63320	582802
98	64195	584243
99	65070	585636
100	65978	587276
101	66935	589294
102	67846	590860
103	68738	592212
104	69670	593861
105	70618	595591
106	71500	596730
107	72236	596622
108	72771	594853
109	73306	593117
110	73841	591396
111	74338	589400
112	74822	587324
113	75263	584943
114	75763	583053
115	76312	581550
116	76814	579717
117	77346	578131
118	77903	576746
119	78427	575135
120	78928	573372
121	79437	571689
122	79937	569964
123	80346	567608
124	80757	565302
125	81196	563218
126	81619	561056
127	82133	559533
128	83060	560818
129	83988	562077
130	84876	563034
131	85759	563932
132	86689	565110
133	87607	566176
134	88621	567831
135	89455	568304
136	90340	569079
137	91282	570182
138	92118	570603
139	92596	568804
140	93089	567122
141	93519	565066
142	93977	563208
143	94408	561207
144	94837	559216
145	95269	557259
146	95767	555713
147	96206	553836
148	96666	552100
149	97123	550363
150	97525	548340
151	97972	546582
152	98411	544800
153	99123	544536
154	99692	543482
155	100239	542321
156	100835	541426
157	101392	540334
158	101942	539205
159	103182	541709
160	104445	544283
161	105527	545874
162	106499	546873
163	107535	548167
164	108722	550200
165	109642	550853
166	110527	551312
167	111445	551920
168	112646	553901
169	113536	554323
170	114416	554685
171	115350	555290
172	116205	555500
173	117139	556077
174	118058	556559
175	118941	556863
176	119725	556688
177	120605	556954
178	121510	557320
179	122399	557597
180	123344	558116
181	124233	558368
182	125109	558549
183	125947	558550
184	126876	558942
185	127746	559064
186	128552	558892
187	129456	559141
188	130351	559339
189	131322	559849
190	132070	559399
191	132509	557642
192	132967	555984
193	133410	554274
194	133852	552570
195	134299	550901
196	134730	549181
197	135147	547417
198	135565	545666
199	135980	543923
200	136368	542080
201	136797	540415
202	137148	538460
203	137601	536917
204	138101	535564
205	138551	534027
206	138983	532432
207	139383	530729
208	139819	529174
209	140208	527450
210	140644	525918
211	141075	524375
212	141515	522878
213	141982	521486
214	142900	521752
215	143795	521923
216	144689	522082
217	145548	522104
218	146409	522126
219	147296	522233
220	148196	522375
221	149064	522395
222	149966	522528
223	150881	522697
224	151784	522813
225	152333	521707
226	152832	520437
227	153354	519253
228	153881	518090
229	154378	516833
230	154924	515743
231	155413	514472
232	155921	513267
233	156404	511990
234	156883	510705
235	157360	509422
236	157835	508138
237	158322	506899
238	158951	506117
239	159510	505115
240	159977	503830
241	160553	502891
242	161098	501859
243	161671	500918
244	162402	500466
245	163281	500465
246	164427	501270
247	165319	501291
248	166203	501280
249	167016	501049
250	167900	501025
251	168795	501029
252	169623	500824
253	170470	500672
254	171349	500608
255	172042	499998
256	172493	498686
257	172936	497359
258	173380	496042
259	173823	494728
260	174239	493344
261	174665	491997
262	175072	490602
263	175493	489255
264	175908	487897
265	176338	486588
266	176780	485318
267	177202	484002
268	177647	482751
269	178043	481377
270	178378	479844
271	178722	478346
272	179107	476963
273	179537	475709
274	179968	474461
275	180368	473141
276	180821	471962
277	181194	470583
278	181537	469133
279	182112	468289
280	183008	468266
281	183684	467677
282	184563	467603
283	185421	467471
284	186912	468921
285	188682	471045
286	190746	473876
287	192263	475317
288	192872	474506
289	193408	473517
290	193949	472543
291	194467	471515
292	194965	470446
293	195468	469390
294	195918	468211
295	196448	467227
296	196991	466279
297	197491	465231
